CleanedJuryData.csv,judge,type,code,jcp,age,gender,edu,,NOTES,,
3,CFD,criminal,J,NCP,50,M,13,,,,
3,CFD,criminal,J,NCP,54,M,15,,,,
3,CFD,criminal,J,NCP,35,F,20,,,,
3,CFD,criminal,NI,NI,28,F,16,,,,
3,CFD,criminal,NI,NI,25,F,19,,,,
3,CFD,criminal,NI,NI,57,F,22,,,,
3,CFD,criminal,NI,NI,60,M,16,,,,
3,CFD,criminal,NI,NI,60,M,12,,,,
3,CFD,criminal,NI,NI,65,M,13,,,,
3,CFD,criminal,NI,NI,48,M,12,,,,
3,CFD,criminal,NI,NI,44,F,16,,,,
3,CFD,criminal,NI,NI,38,F,15,,,,
3,CFD,criminal,NI,NI,52,F,16,,,,
3,CFD,criminal,NI,NI,51,M,16,,,,
3,CFD,criminal,NI,NI,58,F,12,,,,
3,CFD,criminal,NI,NI,51,M,12,,,,
3,CFD,criminal,NI,NI,40,M,19,,,,
3,CFD,criminal,NI,NI,36,F,13,,,,
3,CFD,criminal,NI,NI,49,M,12,,,,
3,CFD,criminal,NI,NI,57,M,14,,,,
3,CFD,criminal,NI,NI,29,M,12,,,,
3,CFD,criminal,NI,NI,23,M,14,,,,
3,CFD,criminal,NI,NI,39,F,13,,,,
3,CFD,criminal,NI,NI,42,F,14,,,,
3,CFD,criminal,NI,NI,56,F,22,,,,
3,CFD,criminal,NI,NI,25,F,15,,,,
3,CFD,criminal,NI,NI,25,M,16,,,,
34,PCD,civil,CP,CP,61,F,13,,,,
34,PCD,civil,J,NCP,62,F,12,,,,
34,PCD,civil,J,NCP,41,M,19,,,,
34,PCD,civil,J,NCP,53,F,14,,,,
34,PCD,civil,J,NCP,38,M,16,,,,
34,PCD,civil,J,NCP,55,F,12,,,,
34,PCD,civil,J,NCP,54,F,14,,,,
34,PCD,civil,PP,NCP,36,M,14,,,,
34,PCD,civil,PP,NCP,61,F,12,,,,
34,PCD,civil,CP,CP,56,F,20,,,,
34,PCD,civil,PP,NCP,51,F,14,,,,
34,PCD,civil,J,NCP,53,F,13,,,,
34,PCD,civil,CP,CP,46,F,13,,,,
34,PCD,civil,CP,CP,66,F,16,,,,
34,PCD,civil,CP,CP,61,M,16,,,,
34,PCD,civil,J,NCP,60,M,16,,,,
34,PCD,civil,J,NCP,24,F,16,,,,
34,PCD,civil,J,NCP,26,F,12,,,,
34,PCD,civil,J,NCP,52,M,20,,,,
34,PCD,civil,CP,CP,40,M,16,,,,
34,PCD,civil,PD,NCP,41,F,16,,,,
34,PCD,civil,CP,CP,29,F,15,,,,
34,PCD,civil,J,NCP,43,F,17,,,,
34,PCD,civil,J,NCP,46,M,12,,,,
34,PCD,civil,J,NCP,50,F,13,,,,
34,PCD,civil,J,NCP,51,M,20,,,,
34,PCD,civil,J,NCP,47,M,16,,,,
34,PCD,civil,J,NCP,33,M,13,,,,
34,PCD,civil,J,NCP,50,M,17,,,,
34,PCD,civil,J,NCP,47,M,12,,,,
34,PCD,civil,J,NCP,69,M,14,,,,
34,PCD,civil,J,NCP,53,F,14,,,,
34,PCD,civil,J,NCP,29,F,14,,,,
34,PCD,civil,J,NCP,52,F,17,,,,
34,PCD,civil,J,NCP,53,M,12,,,,
34,PCD,civil,J,NCP,57,F,16,,,,
34,PCD,civil,J,NCP,56,M,12,,,,
34,PCD,civil,CP,CP,70,F,22,,,,
34,PCD,civil,J,NCP,36,M,22,,,,
34,PCD,civil,J,NCP,52,F,18,,,,
34,PCD,civil,J,NCP,60,M,11,,,,
34,PCD,civil,J,NCP,52,M,16,,,,
34,PCD,civil,J,NCP,37,F,14,,,,
34,PCD,civil,J,NCP,61,M,10,,,,
34,PCD,civil,J,NCP,28,F,14,,,,
34,PCD,civil,J,NCP,61,M,16,,,,
34,PCD,civil,CP,CP,47,M,12,,,,
34,PCD,civil,J,NCP,45,M,16,,,,
34,PCD,civil,J,NCP,47,F,12,,,,
34,PCD,civil,CP,CP,32,F,16,,,,
34,PCD,civil,PD,NCP,52,F,13,,,,
34,PCD,civil,J,NCP,71,M,22,,,,
34,PCD,civil,J,NCP,50,F,16,,,,
34,PCD,civil,J,NCP,49,M,12,,,,
34,PCD,civil,J,NCP,64,F,12,,,,
34,PCD,civil,CP,CP,48,M,18,,,,
34,PCD,civil,CP,CP,39,M,18,,,,
34,PCD,civil,PD,NCP,46,F,12,,,,
34,PCD,civil,J,NCP,58,F,13,,,,
34,PCD,civil,J,NCP,22,F,16,,,,
35,PCD,civil,J,NCP,44,F,16,,,,
35,PCD,civil,PP,NCP,70,M,14,,,,
35,PCD,civil,PD,NCP,45,M,14,,,,
35,PCD,civil,CP,CP,37,F,14,,,,
35,PCD,civil,CP,CP,22,M,16,,,,
35,PCD,civil,CP,CP,28,M,16,,,,
35,PCD,civil,J,NCP,45,M,12,,,,
35,PCD,civil,PPPD,NCP,32,M,15,,,,
35,PCD,civil,CP,CP,62,M,16,,,,
35,PCD,civil,PP,NCP,37,M,13,,,,
35,PCD,civil,J,NCP,45,F,13,,,,
35,PCD,civil,J,NCP,58,F,12,,,,
35,PCD,civil,J,NCP,55,F,14,,,,
35,PCD,civil,PP,NCP,51,M,16,,,,
35,PCD,civil,CP,CP,34,F,14,,,,
35,PCD,civil,J,NCP,38,M,18,,,,
35,PCD,civil,CP,CP,45,F,12,,,,
35,PCD,civil,J,NCP,51,F,18,,,,
35,PCD,civil,J,NCP,44,F,12,,,,
35,PCD,civil,PPPD,NCP,69,F,16,,,,
35,PCD,civil,CP,CP,39,F,15,,,,
35,PCD,civil,CP,CP,27,M,16,,,,
35,PCD,civil,J,NCP,56,F,16,,,,
35,PCD,civil,PD,NCP,41,M,14,,,,
35,PCD,civil,NCP,NCP,26,F,19,,,,
35,PCD,civil,NCP,NCP,46,F,14,,,,
35,PCD,civil,NCP,NCP,28,M,13,,,,
35,PCD,civil,NCP,NCP,48,M,16,,,,
35,PCD,civil,CP,CP,44,M,18,,,,
35,PCD,civil,NCP,NCP,54,F,12,,,,
35,PCD,civil,CP,CP,66,M,12,,,,
35,PCD,civil,NCP,NCP,59,M,18,,,,
35,PCD,civil,NCP,NCP,40,M,14,,,,
35,PCD,civil,NCP,NCP,46,F,14,,,,
35,PCD,civil,NCP,NCP,64,F,18,,,,
35,PCD,civil,CP,CP,63,M,20,,,,
35,PCD,civil,NCP,NCP,41,F,22,,,,
35,PCD,civil,NCP,NCP,51,M,13,,,,
35,PCD,civil,NCP,NCP,48,F,12,,,,
35,PCD,civil,NCP,NCP,63,F,12,,,,
35,PCD,civil,NCP,NCP,43,M,19,,,,
35,PCD,civil,CP,CP,52,F,14,,,,
35,PCD,civil,NCP,NCP,29,F,16,,,,
35,PCD,civil,CP,CP,59,M,19,,,,
35,PCD,civil,CP,CP,40,F,18,,,,
35,PCD,civil,NCP,NCP,45,F,14,,,,
35,PCD,civil,NCP,NCP,38,F,15,,,,
35,PCD,civil,NCP,NCP,44,F,16,,,,
35,PCD,civil,NCP,NCP,43,F,16,,,,
35,PCD,civil,NCP,NCP,58,M,15,,,,
35,PCD,civil,NCP,NCP,64,F,18,,,,
35,PCD,civil,NCP,NCP,24,M,16,,,,
35,PCD,civil,NCP,NCP,58,F,16,,,,
35,PCD,civil,NCP,NCP,32,M,16,,,,
35,PCD,civil,NCP,NCP,45,F,13,,,,
35,PCD,civil,NCP,NCP,51,F,16,,,,
35,PCD,civil,NCP,NCP,37,M,20,,,,
35,PCD,civil,CP,CP,54,F,22,,,,
36,EBB,civil,NCP,NCP,42,M,18,,,,
36,EBB,civil,NCP,NCP,52,F,13,,,,
36,EBB,civil,NCP,NCP,48,F,13,,,,
36,EBB,civil,CP,CP,40,M,14,,,,
36,EBB,civil,NCP,NCP,46,F,12,,,,
36,EBB,civil,NCP,NCP,62,M,16,,,,
36,EBB,civil,CP,CP,60,M,14,,,,
36,EBB,civil,CP,CP,35,F,15,,,,
36,EBB,civil,NCP,NCP,29,M,12,,,,
36,EBB,civil,NCP,NCP,25,M,14,,,,
36,EBB,civil,NCP,NCP,37,M,15,,,,
36,EBB,civil,NCP,NCP,38,M,16,,,,
36,EBB,civil,NCP,NCP,45,M,22,,,,
36,EBB,civil,CP,CP,71,M,12,,,,
36,EBB,civil,NCP,NCP,58,F,11,,,,
36,EBB,civil,NCP,NCP,24,M,16,,,,
36,EBB,civil,NCP,NCP,58,F,16,,,,
36,EBB,civil,NCP,NCP,58,F,16,,,,
36,EBB,civil,NCP,NCP,41,M,17,,,,
36,EBB,civil,PP,NCP,53,M,16,,,,
36,EBB,civil,CP,CP,73,M,20,,,,
36,EBB,civil,CP,CP,41,F,22,,,,
36,EBB,civil,NCP,NCP,48,F,14,,,,
36,EBB,civil,NCP,NCP,49,F,16,,,,
